order_id,timestamp,user_id,domain,item_id,correct,p_correct_sim,L1,L2,L3,question_text
1,2025-12-14T07:31:36.011218+00:00,u001,ファイルの操作,29,0,0.2839452199012435,Linuxファイル操作,ファイルの操作,find,ルートディレクトリから名前が foo.txt のファイルを探すコマンドはどれですか？
2,2025-12-14T07:32:00.011218+00:00,u001,テキスト処理,10,1,0.952333730827967,Linuxファイル操作,テキスト処理,grep,grep で大文字小文字を区別せずに検索するためのオプションを一つ書いてください
3,2025-12-14T07:32:38.011218+00:00,u001,テキスト処理,1,1,0.862585280977413,Linuxファイル操作,テキスト処理,sort,ファイルの内容を並び替えて表示するためのコマンドはどれですか？
4,2025-12-14T07:33:07.011218+00:00,u001,標準入出力操作,15,0,0.2944383812354519,Linuxファイル操作,標準入出力操作,パイプ,ファイルの中で pattern に一致する行数だけを数えたいときに最も適切なコマンドはどれですか？
5,2025-12-14T07:33:33.011218+00:00,u001,テキスト処理,10,1,0.952333730827967,Linuxファイル操作,テキスト処理,grep,grep で大文字小文字を区別せずに検索するためのオプションを一つ書いてください
6,2025-12-14T07:34:02.011218+00:00,u001,ファイルの操作,22,1,0.5420719870679505,Linuxファイル操作,ファイルの操作,mv,ファイル名 old.txt を new.txt に変更するコマンドはどれですか？
7,2025-12-14T07:34:37.011218+00:00,u001,テキスト処理,10,1,0.952333730827967,Linuxファイル操作,テキスト処理,grep,grep で大文字小文字を区別せずに検索するためのオプションを一つ書いてください
8,2025-12-14T07:34:59.011218+00:00,u001,テキスト処理,4,0,0.7687173666093482,Linuxファイル操作,テキスト処理,tail,ファイルの末尾20行を表示したいときに最も適切なコマンドはどれですか？
9,2025-12-14T07:35:31.011218+00:00,u001,ファイルの操作,28,0,0.29365736136862464,Linuxファイル操作,ファイルの操作,chmod,ファイル script.sh に実行権を追加するコマンドとして最も適切なものはどれですか？
10,2025-12-14T07:36:03.011218+00:00,u001,ファイルの操作,21,0,0.4188781567614076,Linuxファイル操作,ファイルの操作,cp,ファイル file1 を file2 としてコピーするコマンドはどれですか？
11,2025-12-14T07:36:33.011218+00:00,u001,テキスト処理,10,1,0.952333730827967,Linuxファイル操作,テキスト処理,grep,grep で大文字小文字を区別せずに検索するためのオプションを一つ書いてください
12,2025-12-14T07:37:03.011218+00:00,u001,ファイルの操作,29,0,0.2839452199012435,Linuxファイル操作,ファイルの操作,find,ルートディレクトリから名前が foo.txt のファイルを探すコマンドはどれですか？
13,2025-12-14T07:37:34.011218+00:00,u001,テキスト処理,8,1,0.9211365340980919,Linuxファイル操作,テキスト処理,sed,ファイル内の文字列 foo を bar に置き換えて画面に表示するコマンドはどれですか？
