item_id,L1,L2,L3,question_text,answer_type,choice_A,choice_B,choice_C,choice_D,correct_key,correct_text,explanation
1,Linuxファイル操作,テキスト処理,sort,ファイルの内容を並び替えて表示するためのコマンドはどれですか？,mcq,head,sort,uniq,tail,B,,sort は標準入力やファイルの行を昇順に並び替えて表示する
2,Linuxファイル操作,テキスト処理,uniq,連続した重複行を一つにまとめて出力するコマンドはどれですか？,mcq,grep,uniq,cut,sed,B,,uniq は同じ行が続いている部分を一つにまとめる
3,Linuxファイル操作,テキスト処理,head,ファイルの先頭の数行だけを表示するコマンドはどれですか？,mcq,tail,head,nl,cat,B,,head はデフォルトで先頭の10行を表示する
4,Linuxファイル操作,テキスト処理,tail,ファイルの末尾20行を表示したいときに最も適切なコマンドはどれですか？,mcq,tail -n 20 file.txt,head -n 20 file.txt,tail file.txt 20,wc -l file.txt,A,,tail -n 20 file.txt は末尾から20行分だけを表示する
5,Linuxファイル操作,テキスト処理,wc,ファイルの行数や単語数などを表示するコマンドはどれですか？,mcq,wc,ls,cat,sort,A,,wc は行数単語数バイト数などを集計して表示する
6,Linuxファイル操作,テキスト処理,cut,スペース区切りのテキストから2列目だけを取り出すのに適したコマンドはどれですか？,mcq,cut,paste,tr,sed,A,,cut は区切り文字とフィールド番号を指定して列を抜き出す
7,Linuxファイル操作,テキスト処理,grep,ファイルの中から文字列 error を含む行だけを表示するコマンドはどれですか？,mcq,grep error file.txt,sort error file.txt,find error file.txt,wc error file.txt,A,,grep はパターンに一致する行を抽出する
8,Linuxファイル操作,テキスト処理,sed,ファイル内の文字列 foo を bar に置き換えて画面に表示するコマンドはどれですか？,mcq,sed s/foo/bar/ file.txt,tr foo bar < file.txt,grep foo file.txt,sort file.txt,A,,sed は置換などの編集を行うストリームエディタとして使える
9,Linuxファイル操作,テキスト処理,grep,行頭がシャープ記号の行だけを表示するための grep の正規表現を一つ書いてください,text,,,,,,^#,^ は行頭を表し # と組み合わせることで行頭が # の行だけを指定できる
10,Linuxファイル操作,テキスト処理,grep,grep で大文字小文字を区別せずに検索するためのオプションを一つ書いてください,text,,,,,,-i,-i を付けるとパターンと入力の大小文字を無視して検索できる
11,Linuxファイル操作,標準入出力操作,パイプ,ls -l /etc | grep '^-'> file.txt の動作として正しい説明はどれですか？,mcq,ls が grep の標準入力を受け取り file.txt に出力する,grep が ls の標準出力を受け取り file.txt に出力する,ls が grep の標準エラー出力を受け取り file.txt に出力する,grep が ls の標準入力を受け取り file.txt に出力する,B,,ls の出力がパイプで grep に渡されその結果が > により file.txt に書き込まれる
12,Linuxファイル操作,標準入出力操作,リダイレクト,標準出力と標準エラー出力の両方を同じファイル out.log にリダイレクトするコマンドとして正しいものはどれですか？,mcq,command > out.log 2>&1,command 2> out.log,command >> out.log,command < out.log,A,,2>&1 を付けることで標準エラー出力を標準出力と同じ場所にまとめてリダイレクトできる
13,Linuxファイル操作,標準入出力操作,ヒアドキュメント,シェルのヒアドキュメントで使用するリダイレクト記号を一つ書いてください,text,,,,,,<<,シェルでは << を使って後続の行を標準入力としてコマンドに渡す
