order_id,timestamp,user_id,domain,item_id,correct,p_correct_sim,L1,L2,L3,question_text
1,2025-12-23T02:13:27.084447+00:00,u001,標準入出力操作,48,0,0.36389909731187337,Linuxファイル操作,標準入出力操作,リダイレクト,標準出力を file.txt に上書きし標準エラー出力は画面に残したいときのリダイレクト記述として正しいものはどれですか？
2,2025-12-23T02:13:50.084447+00:00,u001,テキスト処理,5,1,0.5666424622053879,Linuxファイル操作,テキスト処理,wc,ファイルの行数や単語数などを表示するコマンドはどれですか？
3,2025-12-23T02:14:29.084447+00:00,u001,ファイルの操作,24,1,0.5786618456904606,Linuxファイル操作,ファイルの操作,mkdir,ディレクトリ dir1 を新しく作成するコマンドはどれですか？
4,2025-12-23T02:14:52.084447+00:00,u001,ファイルの操作,56,1,0.69032324117271,Linuxファイル操作,ファイルの操作,tar,複数のファイルを1つのアーカイブファイル archive.tar にまとめるコマンドとして最も適切なものはどれですか？
5,2025-12-23T02:15:24.084447+00:00,u001,ファイルの操作,55,1,0.6531978713438714,Linuxファイル操作,ファイルの操作,ln,既存ファイル file.txt に対してシンボリックリンク link.txt を作成するコマンドとして最も適切なものはどれですか？
6,2025-12-23T02:15:55.084447+00:00,u001,標準入出力操作,13,0,0.4010923464006184,Linuxファイル操作,標準入出力操作,ヒアドキュメント,シェルのヒアドキュメントで使用するリダイレクト記号を一つ書いてください
7,2025-12-23T02:16:24.084447+00:00,u001,ファイルの操作,57,1,0.6077574126503387,Linuxファイル操作,ファイルの操作,tar,tar で gzip 圧縮されたアーカイブ archive.tar.gz を展開するコマンドを一つ書いてください
8,2025-12-23T02:16:51.084447+00:00,u001,ファイルの操作,60,1,0.3088448481863735,Linuxファイル操作,ファイルの操作,file,指定したファイルの種類を判定して表示するコマンドはどれですか？
9,2025-12-23T02:17:26.084447+00:00,u001,テキスト処理,39,0,0.2976761324189931,Linuxファイル操作,テキスト処理,split,大きなファイルを一定行数ごとに分割するコマンドはどれですか？
10,2025-12-23T02:17:51.084447+00:00,u001,標準入出力操作,50,0,0.4007204577413231,Linuxファイル操作,標準入出力操作,ヒアドキュメント,cat コマンドに複数行の文字列を直接渡してファイルに保存したいときに使う構文として最も適切なものはどれですか？
11,2025-12-23T02:18:24.084447+00:00,u001,ファイルの操作,28,0,0.4495000254853415,Linuxファイル操作,ファイルの操作,chmod,ファイル script.sh に実行権を追加するコマンドとして最も適切なものはどれですか？
12,2025-12-23T02:18:53.084447+00:00,u001,標準入出力操作,51,1,0.3488712553774821,Linuxファイル操作,標準入出力操作,xargs,find と xargs を組み合わせて見つかったファイルを一括で削除するコマンドとして最も適切なものはどれですか？
13,2025-12-23T02:19:29.084447+00:00,u001,ファイルの操作,58,0,0.2087976340069914,Linuxファイル操作,ファイルの操作,gzip,ファイル file.txt を gzip 形式で圧縮し file.txt.gz を作成するコマンドとして最も適切なものはどれですか？
14,2025-12-23T02:19:51.084447+00:00,u001,テキスト処理,35,0,0.09121831511083195,Linuxファイル操作,テキスト処理,cut,cut コマンドで2列目と4列目を取り出す指定を一つ書いてください
15,2025-12-23T02:20:24.084447+00:00,u001,標準入出力操作,11,0,0.2289441000665012,Linuxファイル操作,標準入出力操作,パイプ,ls -l /etc | grep '^-'> file.txt の動作として正しい説明はどれですか？
16,2025-12-23T02:20:59.084447+00:00,u001,テキスト処理,1,0,0.12051239592868415,Linuxファイル操作,テキスト処理,sort,ファイルの内容を並び替えて表示するためのコマンドはどれですか？
17,2025-12-23T02:21:27.084447+00:00,u001,テキスト処理,39,0,0.2976761324189931,Linuxファイル操作,テキスト処理,split,大きなファイルを一定行数ごとに分割するコマンドはどれですか？
18,2025-12-23T02:21:50.084447+00:00,u001,テキスト処理,32,0,0.21815430693915022,Linuxファイル操作,テキスト処理,sort,sort コマンドで数値として昇順に並び替えるためのオプションを一つ書いてください
19,2025-12-23T02:22:27.084447+00:00,u001,テキスト処理,3,0,0.08066684203745154,Linuxファイル操作,テキスト処理,head,ファイルの先頭の数行だけを表示するコマンドはどれですか？
20,2025-12-23T02:22:55.084447+00:00,u001,テキスト処理,1,0,0.12051239592868415,Linuxファイル操作,テキスト処理,sort,ファイルの内容を並び替えて表示するためのコマンドはどれですか？
21,2025-12-23T02:23:24.084447+00:00,u001,標準入出力操作,51,0,0.3488712553774821,Linuxファイル操作,標準入出力操作,xargs,find と xargs を組み合わせて見つかったファイルを一括で削除するコマンドとして最も適切なものはどれですか？
22,2025-12-23T02:23:54.084447+00:00,u001,ファイルの操作,26,0,0.6259513107439756,Linuxファイル操作,ファイルの操作,ls,隠しファイルも含めて詳細情報付きで一覧表示するコマンドとして最も適切なものはどれですか？
23,2025-12-23T02:24:26.084447+00:00,u001,テキスト処理,6,0,0.4059604243941477,Linuxファイル操作,テキスト処理,cut,スペース区切りのテキストから2列目だけを取り出すのに適したコマンドはどれですか？
24,2025-12-23T02:24:54.084447+00:00,u001,テキスト処理,40,1,0.08838926405257587,Linuxファイル操作,テキスト処理,sort_uniq,ファイルの重複行を削除しつつ並び替えて表示したいときに最も適切なコマンドはどれですか？
25,2025-12-23T02:25:26.084447+00:00,u001,テキスト処理,1,0,0.12051239592868415,Linuxファイル操作,テキスト処理,sort,ファイルの内容を並び替えて表示するためのコマンドはどれですか？
26,2025-12-23T02:25:51.084447+00:00,u001,テキスト処理,31,0,0.02136264377708003,Linuxファイル操作,テキスト処理,tr,小文字を大文字に変換して表示するのに適したコマンドはどれですか？
27,2025-12-23T02:26:29.084447+00:00,u001,ファイルの操作,26,0,0.6259513107439756,Linuxファイル操作,ファイルの操作,ls,隠しファイルも含めて詳細情報付きで一覧表示するコマンドとして最も適切なものはどれですか？
28,2025-12-23T02:26:53.084447+00:00,u001,標準入出力操作,53,1,0.7544096816784587,Linuxファイル操作,標準入出力操作,標準入出力,標準出力を表すファイルディスクリプタ番号を一つ書いてください
29,2025-12-23T02:27:24.084447+00:00,u001,テキスト処理,44,0,0.12841668913596022,Linuxファイル操作,テキスト処理,正規表現,正規表現で任意の1文字を表すメタ文字を一つ書いてください
30,2025-12-23T02:27:57.084447+00:00,u001,標準入出力操作,14,1,0.18814233820713294,Linuxファイル操作,標準入出力操作,リダイレクト,既存のファイルに出力を追記するためのリダイレクト記号を一つ書いてください
31,2025-12-23T02:28:24.084447+00:00,u001,テキスト処理,36,0,0.05668759757454278,Linuxファイル操作,テキスト処理,awk,ファイルから1列目だけを表示する awk のコマンドとして最も適切なものはどれですか？
32,2025-12-23T02:28:55.084447+00:00,u001,ファイルの操作,30,0,0.4333814748078154,Linuxファイル操作,ファイルの操作,touch,空のファイルを新規作成するときに使えるコマンドを一つ書いてください
33,2025-12-23T02:29:25.084447+00:00,u001,ファイルの操作,24,1,0.5786618456904606,Linuxファイル操作,ファイルの操作,mkdir,ディレクトリ dir1 を新しく作成するコマンドはどれですか？
34,2025-12-23T02:29:54.084447+00:00,u001,標準入出力操作,18,1,0.6511271867949615,Linuxファイル操作,標準入出力操作,標準入出力,標準入力を表すファイルディスクリプタ番号はどれですか？
35,2025-12-23T02:30:25.084447+00:00,u001,標準入出力操作,52,0,0.275643910221295,Linuxファイル操作,標準入出力操作,tee,tee コマンドを使ってログを画面に表示しながら同時に log.txt に追記したいときに最も適切なコマンドはどれですか？
36,2025-12-23T02:30:55.084447+00:00,u001,テキスト処理,2,1,0.3445945224140531,Linuxファイル操作,テキスト処理,uniq,連続した重複行を一つにまとめて出力するコマンドはどれですか？
37,2025-12-23T02:31:22.084447+00:00,u001,標準入出力操作,50,1,0.4007204577413231,Linuxファイル操作,標準入出力操作,ヒアドキュメント,cat コマンドに複数行の文字列を直接渡してファイルに保存したいときに使う構文として最も適切なものはどれですか？
38,2025-12-23T02:31:57.084447+00:00,u001,標準入出力操作,14,0,0.18814233820713294,Linuxファイル操作,標準入出力操作,リダイレクト,既存のファイルに出力を追記するためのリダイレクト記号を一つ書いてください
39,2025-12-23T02:32:29.084447+00:00,u001,テキスト処理,39,0,0.2976761324189931,Linuxファイル操作,テキスト処理,split,大きなファイルを一定行数ごとに分割するコマンドはどれですか？
40,2025-12-23T02:32:50.084447+00:00,u001,テキスト処理,39,0,0.2976761324189931,Linuxファイル操作,テキスト処理,split,大きなファイルを一定行数ごとに分割するコマンドはどれですか？
41,2025-12-23T02:33:24.084447+00:00,u001,標準入出力操作,11,0,0.2289441000665012,Linuxファイル操作,標準入出力操作,パイプ,ls -l /etc | grep '^-'> file.txt の動作として正しい説明はどれですか？
42,2025-12-23T02:33:53.084447+00:00,u001,ファイルの操作,25,0,0.6436131129751683,Linuxファイル操作,ファイルの操作,rmdir,空のディレクトリ dir1 を削除するコマンドはどれですか？
43,2025-12-23T02:34:29.084447+00:00,u001,標準入出力操作,14,0,0.18814233820713294,Linuxファイル操作,標準入出力操作,リダイレクト,既存のファイルに出力を追記するためのリダイレクト記号を一つ書いてください
44,2025-12-23T02:34:59.084447+00:00,u001,テキスト処理,6,1,0.4059604243941477,Linuxファイル操作,テキスト処理,cut,スペース区切りのテキストから2列目だけを取り出すのに適したコマンドはどれですか？
45,2025-12-23T02:35:29.084447+00:00,u001,標準入出力操作,14,0,0.18814233820713294,Linuxファイル操作,標準入出力操作,リダイレクト,既存のファイルに出力を追記するためのリダイレクト記号を一つ書いてください
46,2025-12-23T02:35:58.084447+00:00,u001,ファイルの操作,55,0,0.6531978713438714,Linuxファイル操作,ファイルの操作,ln,既存ファイル file.txt に対してシンボリックリンク link.txt を作成するコマンドとして最も適切なものはどれですか？
47,2025-12-23T02:36:21.084447+00:00,u001,ファイルの操作,56,0,0.69032324117271,Linuxファイル操作,ファイルの操作,tar,複数のファイルを1つのアーカイブファイル archive.tar にまとめるコマンドとして最も適切なものはどれですか？
48,2025-12-23T02:36:53.084447+00:00,u001,標準入出力操作,20,0,0.42923840362716387,Linuxファイル操作,標準入出力操作,リダイレクト,file1 と file2 を連結して all.txt に上書き保存したいときに最も適切なコマンドはどれですか？
49,2025-12-23T02:37:28.084447+00:00,u001,標準入出力操作,15,0,0.3095135725470542,Linuxファイル操作,標準入出力操作,パイプ,ファイルの中で pattern に一致する行数だけを数えたいときに最も適切なコマンドはどれですか？
50,2025-12-23T02:37:57.084447+00:00,u001,テキスト処理,35,0,0.09121831511083195,Linuxファイル操作,テキスト処理,cut,cut コマンドで2列目と4列目を取り出す指定を一つ書いてください
51,2025-12-23T02:38:20.084447+00:00,u001,テキスト処理,37,0,0.17237007867379878,Linuxファイル操作,テキスト処理,paste,複数ファイルの対応する行を横に結合して表示するコマンドはどれですか？
52,2025-12-23T02:38:58.084447+00:00,u001,テキスト処理,9,1,0.15894903877712488,Linuxファイル操作,テキスト処理,grep,行頭がシャープ記号の行だけを表示するための grep の正規表現を一つ書いてください
53,2025-12-23T02:39:27.084447+00:00,u001,ファイルの操作,23,0,0.25734991797236684,Linuxファイル操作,ファイルの操作,rm,ファイル tmp.txt を削除するコマンドはどれですか？
54,2025-12-23T02:39:51.084447+00:00,u001,ファイルの操作,25,1,0.6436131129751683,Linuxファイル操作,ファイルの操作,rmdir,空のディレクトリ dir1 を削除するコマンドはどれですか？
55,2025-12-23T02:40:24.084447+00:00,u001,ファイルの操作,22,0,0.6992402488048289,Linuxファイル操作,ファイルの操作,mv,ファイル名 old.txt を new.txt に変更するコマンドはどれですか？
56,2025-12-23T02:40:51.084447+00:00,u001,標準入出力操作,54,1,0.49619661995350034,Linuxファイル操作,標準入出力操作,標準入出力,標準エラー出力を表すファイルディスクリプタ番号を一つ書いてください
57,2025-12-23T02:41:20.084447+00:00,u001,テキスト処理,37,1,0.17237007867379878,Linuxファイル操作,テキスト処理,paste,複数ファイルの対応する行を横に結合して表示するコマンドはどれですか？
58,2025-12-23T02:41:51.084447+00:00,u001,ファイルの操作,26,1,0.6259513107439756,Linuxファイル操作,ファイルの操作,ls,隠しファイルも含めて詳細情報付きで一覧表示するコマンドとして最も適切なものはどれですか？
59,2025-12-23T02:42:24.084447+00:00,u001,ファイルの操作,21,1,0.5860392073906266,Linuxファイル操作,ファイルの操作,cp,ファイル file1 を file2 としてコピーするコマンドはどれですか？
60,2025-12-23T02:42:58.084447+00:00,u001,テキスト処理,43,0,0.26554194688066124,Linuxファイル操作,テキスト処理,sed,sed で1行目から5行目だけを表示するコマンドを一つ書いてください
