item_id,L1,L2,L3,tier,question_text,answer_type,choice_A,choice_B,choice_C,choice_D,correct_key,correct_text,explanation
1,Linuxファイル操作,基本的なファイル管理,ls,1,隠しファイルも含めてカレントディレクトリの内容を一覧表示するコマンドはどれですか？,mcq,ls,ls -a,ls -l,ls -R,B,,ls -a はドットで始まる隠しファイルも含めて表示する
2,Linuxファイル操作,基本的なファイル管理,ls,1,ファイルの詳細情報付き一覧を表示する ls のオプションとして正しいものはどれですか？,mcq,ls -l,ls -a,ls -R,ls -t,A,,ls -l は所有者やサイズなどの詳細情報を表示する
3,Linuxファイル操作,基本的なファイル管理,pwd,1,現在の作業ディレクトリの絶対パスを表示するコマンドを一つ書いてください,text,,,,,,pwd,pwd は現在のディレクトリのパスを表示する
4,Linuxファイル操作,基本的なファイル管理,cd,1,ホームディレクトリに移動するコマンドとして最も適切なものはどれですか？,mcq,cd,cd ~,cd /,cd ..,B,,チルダはログインユーザーのホームディレクトリを表す
5,Linuxファイル操作,基本的なファイル管理,mkdir,1,dir1 とその中の dir2 を一度に作成したいときに最も適切なコマンドはどれですか？,mcq,mkdir -p dir1/dir2,mkdir dir1/dir2,mkdir dir1 && mkdir dir1/dir2,mkdir -r dir1/dir2,A,,mkdir -p は途中のディレクトリもまとめて作成できる
6,Linuxファイル操作,基本的なファイル管理,rm,2,ディレクトリ A を中身ごと確認無しに削除したいときに最も適切なコマンドはどれですか？,mcq,rm -rf A,rm A,rm -r A,rmdir A,A,,rm -rf は再帰削除と確認無し削除を同時に行う
7,Linuxファイル操作,基本的なファイル管理,rm,2,rm コマンドで削除前に確認しながら対話的に削除したいときに付けるオプションはどれですか？,mcq,-i,-f,-r,-R,A,,-i を付けると削除ごとに確認が行われる
8,Linuxファイル操作,基本的なファイル管理,cp,1,ファイル file1 をディレクトリ dir にコピーするコマンドとして正しいものはどれですか？,mcq,cp file1 dir/,cp dir/ file1,cp file1 file2/,cp -r file1 dir,B,,第1引数にコピー元第2引数にコピー先ディレクトリを指定する
9,Linuxファイル操作,基本的なファイル管理,cp,2,ディレクトリ A をタイムスタンプと権限を保ったままディレクトリ B にコピーしたいときに最も適切なコマンドはどれですか？,mcq,cp -pr A B,cp A B,cp -r A B,cp -p A B,A,,cp -pr で再帰コピーと属性の保持を同時に行う
10,Linuxファイル操作,基本的なファイル管理,mv,1,ディレクトリ A の中の file.txt をディレクトリ B に移動するコマンドとして正しいものはどれですか？,mcq,mv A/file.txt B/,mv B/file.txt A/,cp A/file.txt B/,mv file.txt A/B,A,,mv の第1引数に移動元第2引数に移動先を指定する
11,Linuxファイル操作,基本的なファイル管理,ワイルドカード,1,file01.txt や file02.txt など2桁の番号付きファイルにマッチし fileA.txt にはマッチしないパターンはどれですか？,mcq,file[0-9][0-9].txt,file?.txt,file*.txt,file[0-9].txt,A,,かっこ内に数字の範囲を指定して2文字分並べることで2桁の数字に限定できる
12,Linuxファイル操作,基本的なファイル管理,ブレース展開,2,echo {A、B、C}.txt の出力として最も適切なものはどれですか？,mcq,A.txt B.txt C.txt,{A、B、C}.txt,A B C .txt,A.txt B.txt／C.txt,A,,ブレース展開によりかっこ内の要素がそれぞれ展開される
13,Linuxファイル操作,基本的なファイル管理,touch,1,ファイルのタイムスタンプを更新したり存在しない場合は空のファイルを作成したりするコマンド名を一つ書いてください,text,,,,,,touch,touch は指定した名前のファイルが無ければ新規作成する
14,Linuxファイル操作,基本的なファイル管理,tar,2,ディレクトリ dir1 を archive.tar という名前のアーカイブにまとめるコマンドとして最も適切なものはどれですか？,mcq,tar cf archive.tar dir1,tar xf archive.tar dir1,tar czf dir1 archive.tar,tar tvf archive.tar dir1,A,,tar cf で新しいアーカイブファイルを作成できる
15,Linuxファイル操作,基本的なファイル管理,tar,2,gzip 圧縮されたアーカイブ backup.tar.gz を展開する tar のコマンドを一つ書いてください,text,,,,,,tar xzf backup.tar.gz,tar xzf で展開と同時に gzip 解凍を行うことができる
16,Linuxファイル操作,基本的なファイル管理,dd,2,1MB のゼロデータを10個連結したファイル zero.img を作成したいときに最も適切なコマンドはどれですか？,mcq,dd if=/dev/zero of=zero.img bs=1M count=10,dd if=/dev/zero of=zero.img bs=10M count=1,dd of=/dev/zero if=zero.img bs=1M count=10,cp /dev/zero zero.img,A,,bs で1ブロックのサイズ count で繰り返し回数を指定する
17,Linuxファイル操作,基本的なファイル管理,file,2,指定したファイルの種類を判定して表示するコマンド名を一つ書いてください,text,,,,,,file,file コマンドはテキストかバイナリかなどファイルの種類を判定する
